scenario,SL_median,SL-U_median,SL-D_median,SL-M_median,SL-L_median,SL-H_median,SL-MD_median
P2-BR1st,35,49,61,17,30,72,33
P1-2BR-2LR-M,1194,695,993,1099,552,3215,1137
P2-LC,73,86,60,53,60,118,85
P1-4BR-2LR-M,931,640,677,998,347,3150,834
P2-LC-BR1st-M,71,54,67,34,61,91,88
P2-BR1st-M,35,54,63,13,33,51,32
P1-2BR,417,355,549,184,114,3380,386
P1-4BR-M,596,359,883,281,197,8229,340
P1-4BR-1JL-2LR,381,362,544,285,148,2821,336
P1-2BR-1JL-M,644,362,982,168,106,8543,375
P1-2BR-1JL,405,368,555,171,107,2790,375
P2-LC-BR1st,70,49,58,49,65,115,89
P2-1EV,56,105,122,27,51,126,43
P1-2BR-M,607,370,870,177,105,8820,375
P1-4BR-1JL-2LR-M,526,351,788,291,174,6897,348
P2-LC-M,77,92,66,53,61,96,88
P1-4BR-1JL-M,590,356,827,299,197,8132,349
P1-2BR-1JL-2LR,405,350,587,168,101,3103,377
P1-4BR-1JL,403,355,552,288,197,3416,360
P2-FR,31,76,44,18,30,53,26
P2,37,86,60,19,28,81,33
P2-MW,117,262,262,57,56,315,62
P1-4BR-2LR,830,669,717,844,322,3225,703
P1-4BR,381,348,569,286,190,2764,341
P2-M,37,92,62,15,31,55,32
P1-2BR-2LR,988,698,741,783,424,3099,886
P1-2BR-1JL-2LR-M,610,358,908,172,94,8374,370